,Safety,Conv,Traffic,Medical,Culture,EMD_CD
95,0.0,0.00028558373315055975,0.00028558373315055975,0.0,0.0,11440118
96,0.0,0.0010878455418301095,0.001510896585875152,0.0025383062642702556,0.0,11440108
97,0.0,0.0008504472722691193,0.0012599218848431397,0.0028978203351392212,0.0,11440104
98,0.0,0.0047700587081231614,0.003302348336392958,0.014310176124369484,0.0007338551858651018,11440121
99,0.0,0.0001354004468214745,9.026696454764967e-05,9.026696454764967e-05,0.0,11440107
100,2.1112635912593688e-05,0.000738942256940779,0.001140082339280059,0.0014145466061437771,0.0,11440123
101,0.0,0.004283755997258396,0.005140507196710075,0.0019990861320539183,0.0,11440115
102,0.0005250721974271463,0.011289052244683644,0.022315568390653715,0.015752165922814386,0.00026253609871357313,11440127
103,0.0003669275929325509,0.012659001956173005,0.010640900195043976,0.011558219177375352,0.00018346379646627545,11440120
104,5.8101532427917786e-05,0.0013363352458421092,0.0018011475052654513,0.0010167768174885613,8.715229864187669e-05,11440125
105,0.0,0.0008340718344367409,0.0009383308137413335,0.002085179586091852,0.0,11440103
106,0.0002473111778477027,0.001154118829955946,0.001896052363499054,0.001318992948521081,0.0,11440111
107,0.0,0.0,5.5398777016598586e-06,0.0,0.0,11440117
108,3.323926620995915e-05,0.0004653497269394281,0.0008919203099672371,0.0013960491808182843,5.5398777016598586e-06,11470101
109,9.482343088475372e-05,0.0006163523007508991,0.0012801163169441753,0.002749879495657858,0.0,11440101
110,3.8364152535870484e-05,0.0008056472032532801,0.0007289188981815392,0.0004220056778945753,0.0,11440124
111,3.275001910775302e-05,0.00026200015286202417,0.00042575024840078927,0.0006550003821550604,0.0,11440109
112,0.00022644927536231884,0.001585144927536232,0.0020380434782608695,0.0009057971014492754,0.0,11440105
113,0.0,0.0007125769837634245,0.0007125769837634245,0.001425153967526849,0.0,11440126
114,0.00028558373315055975,0.004569339730408956,0.009709846927119032,0.003998172264107837,0.00028558373315055975,11440114
115,0.0,0.00022644927536231884,0.0,0.0,0.0,11440106
116,0.0,0.0,0.0005711674663011195,0.00028558373315055975,0.0,11440116
117,0.0,0.002685185185185185,0.0025925925925925925,0.0032407407407407406,0.0,11440122
118,0.0,0.0004956383822363204,0.0,0.0,0.0,11440112
119,1.3907432131731197e-05,0.00031987093902981754,0.000570204717400979,0.0010291499777481086,0.0,11410120
120,0.0,0.0008061482237867469,0.001881012522169076,0.001881012522169076,0.0,11410105
121,0.0,0.011409013120365089,0.006274957216200799,0.0005704506560182544,0.0005704506560182544,11410113
122,4.954542076448584e-05,0.0007927267322317735,0.000644090469938316,0.0006936358907028018,4.954542076448584e-05,11410112
123,0.0005275931201857128,0.0010551862403714255,0.0007913896802785691,0.0015827793605571383,0.0,11410104
124,0.0,0.0,0.0011409013120365088,0.0,0.0,11410115
125,2.741115359839919e-05,0.0004796951879719858,0.0006030453791647821,0.0008360401847511752,0.0,11410119
126,0.0,0.000675028013662567,0.0012150504245926207,0.0009450392191275938,0.0,11410110
127,0.0,0.0011409013120365088,0.0022818026240730175,0.0017113519680547634,0.0005704506560182544,11410114
128,0.0003119881444505109,0.00272989626394197,0.004523828094532408,0.003353872552842992,7.799703611262772e-05,11410117
129,0.0,0.0002687160745955823,0.001881012522169076,0.002955876820551405,0.0,11410108
130,0.0,0.0,0.0002687160745955823,0.0016122964475734937,0.0,11410107
131,0.0,0.01939532230462065,0.012549914432401598,0.02966343411294923,0.0005704506560182544,11410116
132,0.0,0.0008061482237867469,0.001881012522169076,0.0008061482237867469,0.0,11410106
133,0.0,0.0015827793605571383,0.0031655587211142765,0.00290176216102142,0.0,11410101
134,0.0002637965600928564,0.002110372480742851,0.005012134641764271,0.0023741690408357074,0.0,11410102
135,0.0,0.0005275931201857128,0.0002637965600928564,0.0,0.0,11410103
136,0.0,0.0008061482237867469,0.003762025044338152,0.0005374321491911646,0.0002687160745955823,11410109
137,0.00010642826734780758,0.000993330495246204,0.0033702284660139066,0.0013126152972896268,0.0,11410118
138,1.8896090398896468e-05,0.0005479866215679976,0.0014738950511139245,0.002021881672681922,0.0,11410111
139,0.0020964360587002098,0.010482180293501049,0.06079664570230608,0.025157232704402517,0.0,11650109
140,8.510396868173952e-05,0.0009077756659385549,0.0012340075458852232,0.0025531190604521858,1.4183994780289921e-05,11650107
141,5.6520059911263505e-05,0.0007912808387576891,0.0014412615277372195,0.0021666022965984343,9.420009985210585e-06,11650101
142,6.756665450466886e-05,0.0020945662896447344,0.0024594262239699466,0.008216105187767733,2.702666180186754e-05,11650108
143,0.0,0.014675052410901468,0.04821802935010482,0.012578616352201259,0.0,11650111
144,0.0003707479840578367,0.011307813513764019,0.014829919362313468,0.01686903327463157,0.0005561219760867551,11650102
145,0.0,0.0020964360587002098,0.020964360587002098,0.0020964360587002098,0.0,11650110
146,0.0002566405748748877,0.0030796868984986525,0.010008982420120622,0.007185936096496856,0.0,11650103
147,0.0,0.0006675567423230974,0.004672897196261682,0.0006675567423230974,0.0006675567423230974,11650104
148,0.0,0.0009193357058125742,0.0010379596678529062,0.004655990510083037,0.0,11650106
149,2.9123103357893816e-05,0.00011649241343157527,0.001106677927599965,0.0005824620671578763,0.0,11200109
150,5.4274084124830395e-05,0.00037991858887381275,0.0011397557666214383,0.0005970149253731343,0.0,11200110
151,0.0,0.00021709633649932158,0.001248303934871099,0.0013025780189959294,5.4274084124830395e-05,11200111
152,0.0,0.0004527703888165714,0.0014149074650517857,0.0015281000622559284,5.6596298602071426e-05,11200112
153,0.00010439230628702665,0.001148315369157293,0.0004175692251481066,0.003340553801184853,0.0,11200104
154,0.0,0.0004923462536925969,0.0012980037597350282,0.0009846925073851939,0.0,11200105
155,0.0,0.0026050146532074245,0.0034190817323347445,0.00016281341582546403,0.0,11200106
156,0.0,0.0008351384502962132,0.0005219615314351332,0.0024010230446016127,0.0,11200101
157,0.0,0.0015423092955398083,0.0020008336807002917,0.001709045435598166,8.336807002917882e-05,11200114
158,0.00011637830708355962,0.0023275661416711927,0.0019784312204205136,0.002831872139033284,3.879276902785321e-05,11200115
159,5.6782692635284766e-05,0.00039747884844699337,0.0008517403895292715,0.00034069615581170857,0.0,11200118
160,7.20876585928489e-05,0.0006487889273356401,0.003027681660899654,0.0025951557093425604,0.0,11200113
161,0.00036310820624546115,0.005809731299927378,0.005809731299927378,0.00907770515613653,0.0,11200122
162,3.6021757141313356e-05,7.204351428262671e-05,0.001008609199956774,0.0002521522999891935,3.6021757141313356e-05,11200108
163,0.0,0.0002305154421334204,0.0005186597448001959,0.0004418212640890558,0.0,11200102
164,3.409555848524799e-05,0.00035232077101422923,0.0007955630313224531,0.0010569623130426877,2.273037232349866e-05,11200107
165,0.00010439230628702665,0.0004175692251481066,0.0004175692251481066,0.0013570999817313465,0.0,11200103
166,2.651535238903325e-05,0.00017234979052871614,0.000530307047780665,0.0008617489526435806,0.0,11290134
167,8.84985012323049e-06,0.00010619820147876588,0.00039824325554537203,0.00020354655283430127,1.769970024646098e-05,11290103
