,병원분류명,주소,xpos,ypos,법정동,법정동코드,B_시도명,B_시군구,B_동,행정동,행정동코드,H_시도명,H_시군구,H_동
4702,의원,서울특별시 서초구 강남대로 415 6층 (서초동 대동빌딩),127.0263407,37.49955986,B,1165010800,서울특별시,서초구,서초동,H,1165053100,서울특별시,서초구,서초4동
4703,의원,서울특별시 마포구 양화로 162 좋은사람들 빌딩 602호 (동교동),126.9238695,37.55643112,B,1144012100,서울특별시,마포구,동교동,H,1144066000,서울특별시,마포구,서교동
4704,의원,서울특별시 강남구 논현로 837 원방빌딩 4층 (신사동),127.0279599,37.5233388,B,1168010700,서울특별시,강남구,신사동,H,1168051000,서울특별시,강남구,신사동
4705,치과의원,서울특별시 서대문구 신촌로 73 케이스퀘어 7층 (창천동),126.9345217,37.55630776,B,1141011600,서울특별시,서대문구,창천동,H,1141058500,서울특별시,서대문구,신촌동
4706,의원,서울특별시 강남구 도산대로 120 3층 (논현동 청호빌딩),127.0218764,37.51673393,B,1168010800,서울특별시,강남구,논현동,H,1168052100,서울특별시,강남구,논현1동
4707,의원,서울특별시 영등포구 의사당대로 127 211호~214호 (여의도동),126.9263787,37.52025609,B,1156011000,서울특별시,영등포구,여의도동,H,1156054000,서울특별시,영등포구,여의동
4708,의원,서울특별시 은평구 은평로 121 응암CO메디컬빌딩 8층 (응암동),126.9210933,37.60044465,B,1138010700,서울특별시,은평구,응암동,H,1138058000,서울특별시,은평구,응암1동
4709,의원,서울특별시 서초구 강남대로 465 교보생명보험(주) 서초사옥 A동 13층 (서초동),127.025075,37.50241813,B,1165010800,서울특별시,서초구,서초동,H,1165053100,서울특별시,서초구,서초4동
4710,의원,서울특별시 마포구 양화로18길 3 삼양세븐스프링스 6층 (동교동),126.9245706,37.55702983,B,1144012100,서울특별시,마포구,동교동,H,1144066000,서울특별시,마포구,서교동
4711,의원,서울특별시 송파구 송파대로 562 4층 (신천동 웰리스타워삼성웰리스아파트),127.0995027,37.51532353,B,1171010200,서울특별시,송파구,신천동,H,1171071000,서울특별시,송파구,잠실6동
4712,의원,서울특별시 양천구 오목로 325 대학빌딩 2층 203 204호 (목동),126.8736275,37.52510894,B,1147010200,서울특별시,양천구,목동,H,1147051000,서울특별시,양천구,목1동
4713,의원,서울특별시 중구 명동길 14 Noon Square 5층 (명동2가),126.9828864,37.56341012,B,1114012700,서울특별시,중구,명동2가,H,1114055000,서울특별시,중구,명동
4714,치과의원,서울특별시 강남구 헌릉로570길 34 202호 (세곡동 리엔파크프라자),127.1034669,37.46314918,B,1168011100,서울특별시,강남구,세곡동,H,1168070000,서울특별시,강남구,세곡동
4715,의원,서울특별시 강남구 언주로172길 64 (신사동 지하1층일부 3층 4층일부),127.0390171,37.52666029,B,1168010700,서울특별시,강남구,신사동,H,1168054500,서울특별시,강남구,압구정동
4716,의원,서울특별시 서초구 강남대로 435 11층 (서초동 주류성빌딩),127.0255632,37.50117824,B,1165010800,서울특별시,서초구,서초동,H,1165053100,서울특별시,서초구,서초4동
4717,의원,서울특별시 송파구 위례성대로 6 (방이동 현대토픽스 3층 301호),127.1131512,37.51684033,B,1171011100,서울특별시,송파구,방이동,H,1171056200,서울특별시,송파구,방이2동
4718,의원,서울특별시 광진구 아차산로 220 5층 (자양동 송천성수빌딩 501호),127.0676552,37.54063276,B,1121510500,서울특별시,광진구,자양동,H,1121584700,서울특별시,광진구,자양4동
4719,의원,서울특별시 종로구 새문안로 96 5층 (신문로1가),126.9754321,37.56994282,B,1111012000,서울특별시,종로구,신문로1가,H,1111053000,서울특별시,종로구,사직동
4720,한의원,서울특별시 강남구 압구정로10길 14 4층 (신사동),127.0217515,37.52278148,B,1168010700,서울특별시,강남구,신사동,H,1168051000,서울특별시,강남구,신사동
4721,의원,서울특별시 강남구 선릉로 602 삼릉빌딩 3층 (삼성동),127.0440117,37.51064417,B,1168010500,서울특별시,강남구,삼성동,H,1168059000,서울특별시,강남구,삼성2동
4722,한의원,서울특별시 서초구 서초중앙로 95 3층 (서초동 거북빌딩),127.013958,37.49037531,B,1165010800,서울특별시,서초구,서초동,H,1165053000,서울특별시,서초구,서초3동
4723,치과의원,서울특별시 서초구 방배로 195 2층 201호 (방배동),126.9914877,37.49069659,B,1165010100,서울특별시,서초구,방배동,H,1165062100,서울특별시,서초구,방배4동
4724,한의원,서울특별시 강남구 테헤란로 524 (대치동 세명빌딩 202호일부),127.0615952,37.50798015,B,1168010600,서울특별시,강남구,대치동,H,1168061000,서울특별시,강남구,대치2동
4725,의원,서울특별시 강남구 도산대로 327 SGF청담타워 8층 (신사동),127.0375981,37.52311988,B,1168010700,서울특별시,강남구,신사동,H,1168054500,서울특별시,강남구,압구정동
4726,의원,서울특별시 양천구 목동로 210 타운빌딩 402호 (목동),126.8644465,37.5273837,B,1147010200,서울특별시,양천구,목동,H,1147051000,서울특별시,양천구,목1동
4727,한의원,서울특별시 강남구 강남대로 616 1002호 (신사동 신사미타워),127.0198042,37.51686043,B,1168010700,서울특별시,강남구,신사동,H,1168051000,서울특별시,강남구,신사동
4728,한의원,서울특별시 마포구 신촌로 116 5층 (노고산동 마포빌딩),126.9385741,37.55531163,B,1144011000,서울특별시,마포구,노고산동,H,1144060000,서울특별시,마포구,대흥동
4729,의원,서울특별시 송파구 양재대로 1164 홍일빌딩 502호503호 (오금동),127.1282581,37.51104721,B,1171011200,서울특별시,송파구,오금동,H,1171057000,서울특별시,송파구,오금동
4730,의원,서울특별시 서초구 바우뫼로12길 70 지하1층 (양재동 더케이서울호텔 컨벤션센터 ),127.033067,37.46828597,B,1165010200,서울특별시,서초구,양재동,H,1165065200,서울특별시,서초구,양재2동
4731,의원,서울특별시 서초구 강남대로 463 8층 (서초동 리젠타워),127.0244466,37.50344901,B,1165010800,서울특별시,서초구,서초동,H,1165053100,서울특별시,서초구,서초4동
4732,의원,서울특별시 강남구 압구정로12길 17 3층 (신사동 운소빌딩),127.0227425,37.52290383,B,1168010700,서울특별시,강남구,신사동,H,1168051000,서울특별시,강남구,신사동
4733,의원,서울특별시 종로구 종로 78 (종로2가),126.9860408,37.56987968,B,1111013500,서울특별시,종로구,관철동,H,1111061500,서울특별시,종로구,종로1.2.3.4가동
4734,의원,서울특별시 관악구 남부순환로 1599 3층 (신림동),126.928176,37.48431033,B,1162010200,서울특별시,관악구,신림동,H,1162069500,서울특별시,관악구,신림동
4735,의원,서울특별시 마포구 양화로 152 7층 (동교동),126.9228923,37.55582501,B,1144012100,서울특별시,마포구,동교동,H,1144066000,서울특별시,마포구,서교동
4736,의원,서울특별시 강남구 도산대로 127 (신사동 경서빌딩 3층 4층일부),127.0223303,37.51762562,B,1168010700,서울특별시,강남구,신사동,H,1168051000,서울특별시,강남구,신사동
4737,의원,서울특별시 강동구 천호옛길 88 G라이트빌딩 4층 (성내동),127.1258247,37.53648376,B,1174010800,서울특별시,강동구,성내동,H,1174065000,서울특별시,강동구,성내2동
4738,의원,서울특별시 마포구 홍익로 25 5층 (서교동),126.9219658,37.55440443,B,1144012000,서울특별시,마포구,서교동,H,1144066000,서울특별시,마포구,서교동
4739,치과의원,서울특별시 강남구 압구정로 152 극동타워 B동 701호 (신사동),127.0253552,37.5253664,B,1168010700,서울특별시,강남구,신사동,H,1168051000,서울특별시,강남구,신사동
4740,치과의원,서울특별시 강동구 양재대로 1390 (둔촌동 신성빌딩),127.1375945,37.52994018,B,1174010600,서울특별시,강동구,둔촌동,H,1174070000,서울특별시,강동구,둔촌2동
4741,의원,서울특별시 동대문구 왕산로 225 (청량리동),127.0467974,37.58174772,B,1123010700,서울특별시,동대문구,청량리동,H,1123070500,서울특별시,동대문구,청량리동
4742,한의원,서울특별시 영등포구 국회대로62길 15 지하1층 2호 (여의도동),126.9169305,37.52708629,B,1156011000,서울특별시,영등포구,여의도동,H,1156054000,서울특별시,영등포구,여의동
4743,치과의원,서울특별시 성동구 상원길 36 6층 (성수동1가),127.0488903,37.54714532,B,1120011400,서울특별시,성동구,성수동1가,H,1120066000,서울특별시,성동구,성수1가2동
4744,한의원,서울특별시 영등포구 양평로 53 601호 (당산동5가 코트론빌딩),126.9004175,37.53431757,B,1156011500,서울특별시,영등포구,당산동5가,H,1156056000,서울특별시,영등포구,당산2동
4745,의원,서울특별시 성북구 보문로 157 3층 (삼선동5가),127.0169156,37.58842896,B,1129011500,서울특별시,성북구,삼선동5가,H,1129055500,서울특별시,성북구,삼선동
4746,의원,서울특별시 성북구 보문로 157 2층 (삼선동5가),127.0169132,37.58842896,B,1129011500,서울특별시,성북구,삼선동5가,H,1129055500,서울특별시,성북구,삼선동
4747,의원,서울특별시 강남구 강남대로 596,127.0203252,37.51500586,B,1168010800,서울특별시,강남구,논현동,H,1168052100,서울특별시,강남구,논현1동
4748,의원,서울특별시 강남구 도산대로 122 (논현동 에메랄드타워),127.0221344,37.5168456,B,1168010800,서울특별시,강남구,논현동,H,1168052100,서울특별시,강남구,논현1동
4749,의원,서울특별시 강남구 언주로30길 13 902호 (도곡동 대림아크로빌 대림아크로텔),127.0506743,37.48814221,B,1168011800,서울특별시,강남구,도곡동,H,1168065600,서울특별시,강남구,도곡2동
