,약국명,주소,xpos,ypos,법정동,법정동코드,B_시도명,B_시군구,B_동,행정동,행정동코드,H_시도명,H_시군구,H_동
211,푸르지오진흥약국,서울특별시 강동구 명일로 176 1층 (둔촌동),127.1453145,37.5344989,B,1174010600,서울특별시,강동구,둔촌동,H,1174070000,서울특별시,강동구,둔촌2동
212,대영약국,"서울특별시 동작구 만양로 26 215호 (상도동, 건영아파트상가)",126.9499848,37.5077626,B,1159010100,서울특별시,동작구,노량진동,H,1159051000,서울특별시,동작구,노량진1동
213,온누리청수약국,서울특별시 성북구 보국문로 164 (정릉동),127.0032572,37.6169892,B,1129013300,서울특별시,성북구,정릉동,H,1129065000,서울특별시,성북구,정릉4동
214,선수촌약국,"서울특별시 송파구 올림픽로4길 17 (잠실동, 아시아선수촌상가 1-137호)",127.0771146,37.5086777,B,1171010100,서울특별시,송파구,잠실동,H,1171072000,서울특별시,송파구,잠실7동
215,송이약국,서울특별시 도봉구 도봉로113길 41 (쌍문동),127.0318986,37.6483714,B,1132010500,서울특별시,도봉구,쌍문동,H,1132068000,서울특별시,도봉구,쌍문3동
216,활명당약국,서울특별시 서대문구 통일로 145-1 (냉천동),126.9649331,37.5672098,B,1141010500,서울특별시,서대문구,냉천동,H,1141052000,서울특별시,서대문구,천연동
217,호성약국,서울특별시 양천구 중앙로36길 16-1 (신정동),126.8559129,37.5194625,B,1147010100,서울특별시,양천구,신정동,H,1147062000,서울특별시,양천구,신정1동
218,유성약국,"서울특별시 노원구 덕릉로 459-37 123호 (상계동, 주공1단지 가상가)",127.059675,37.6468154,B,1135010500,서울특별시,노원구,상계동,H,1135069500,서울특별시,노원구,상계6.7동
219,종우약국,"서울특별시 송파구 양재대로 1222 (방이동, 올림픽프라자상가 1층 94호)",127.1310643,37.515729,B,1171011100,서울특별시,송파구,방이동,H,1171056600,서울특별시,송파구,오륜동
220,대우실로암약국,서울특별시 양천구 월정로50길 10 (신월동),126.8310651,37.541674,B,1147010300,서울특별시,양천구,신월동,H,1147060000,서울특별시,양천구,신월5동
