,지하철역,주소,xpos,ypos,법정동,법정동코드,B_시도명,B_시군구,B_동,행정동,행정동코드,H_시도명,H_시군구,H_동
374,가오리,서울특별시 강북구 수유동,127.016792,37.641701,B,1130510300,서울특별시,강북구,수유동,H,1130562500,서울특별시,강북구,수유2동
375,삼양사거리,서울특별시 강북구 미아동,127.02048,37.621512,B,1130510100,서울특별시,강북구,미아동,H,1130555500,서울특별시,강북구,송천동
376,솔샘,서울특별시 강북구 미아동,127.013528,37.62124,B,1130510100,서울특별시,강북구,미아동,H,1130553400,서울특별시,강북구,삼양동
377,북한산보국문,서울특별시 성북구 정릉동,127.008009,37.612343,B,1129013300,서울특별시,성북구,정릉동,H,1129065000,서울특별시,성북구,정릉4동
378,정릉,서울특별시 성북구 정릉동,127.01349,37.602798,B,1129013300,서울특별시,성북구,정릉동,H,1129062000,서울특별시,성북구,정릉1동
379,성신여대입구,서울특별시 성북구 동소문동5가,127.016403,37.592624,B,1129010800,서울특별시,성북구,동소문동5가,H,1129055500,서울특별시,성북구,삼선동
380,보문,서울특별시 성북구 보문동2가,127.019381,37.585286,B,1129013100,서울특별시,성북구,보문동2가,H,1129061000,서울특별시,성북구,보문동
381,신설동,서울특별시 동대문구 신설동,127.025087,37.575297,B,1123010100,서울특별시,동대문구,신설동,H,1123053600,서울특별시,동대문구,용신동
382,화계,서울특별시 강북구 수유동,127.017519,37.634802,B,1130510300,서울특별시,강북구,수유동,H,1130566000,서울특별시,강북구,인수동
383,삼양,서울특별시 강북구 미아동,127.018152,37.627165,B,1130510100,서울특별시,강북구,미아동,H,1130553400,서울특별시,강북구,삼양동
