,정류소명,주소,xpos,ypos,법정동,법정동코드,B_시도명,B_시군구,B_동,행정동,행정동코드,H_시도명,H_시군구,H_동
1630,중랑교,서울특별시 동대문구 휘경동,127.0657413311471,37.59286276640382,B,1123010900,서울특별시,동대문구,휘경동,H,1123072000,서울특별시,동대문구,휘경1동
1631,중랑교,서울특별시 동대문구 휘경동,127.0657413311471,37.59286276640382,B,1123010900,서울특별시,동대문구,휘경동,H,1123072000,서울특별시,동대문구,휘경1동
1632,삼육서울병원,서울특별시 동대문구 휘경동,127.0657413311471,37.59286276640382,B,1123010900,서울특별시,동대문구,휘경동,H,1123072000,서울특별시,동대문구,휘경1동
1633,삼육서울병원,서울특별시 동대문구 휘경동,127.0657413311471,37.59286276640382,B,1123010900,서울특별시,동대문구,휘경동,H,1123072000,서울특별시,동대문구,휘경1동
1634,시조사삼거리,서울특별시 동대문구 휘경동,127.0657413311471,37.59286276640382,B,1123010900,서울특별시,동대문구,휘경동,H,1123072000,서울특별시,동대문구,휘경1동
1635,떡전교사거리.동대문노인복지관,서울특별시 동대문구 청량리동,127.0472897194037,37.58625110954969,B,1123010700,서울특별시,동대문구,청량리동,H,1123070500,서울특별시,동대문구,청량리동
1636,청량리역환승센타,서울특별시 동대문구 청량리동,127.0472897194037,37.58625110954969,B,1123010700,서울특별시,동대문구,청량리동,H,1123070500,서울특별시,동대문구,청량리동
1637,청량리역환승센타,서울특별시 동대문구 전농동,127.0477599545309,37.57797259208786,B,1123010400,서울특별시,동대문구,전농동,H,1123056000,서울특별시,동대문구,전농1동
1638,동대문구청,서울특별시 동대문구 용두동,127.0373166019291,37.57577072122688,B,1123010200,서울특별시,동대문구,용두동,H,1123053600,서울특별시,동대문구,용신동
1639,청량리역환승센터,서울특별시 동대문구 전농동,127.0477599545309,37.57797259208786,B,1123010400,서울특별시,동대문구,전농동,H,1123056000,서울특별시,동대문구,전농1동
1640,청량리역환승센터,서울특별시 동대문구 전농동,127.0477599545309,37.57797259208786,B,1123010400,서울특별시,동대문구,전농동,H,1123056000,서울특별시,동대문구,전농1동
1641,청량리역환승센터,서울특별시 동대문구 청량리동,127.0472897194037,37.58625110954969,B,1123010700,서울특별시,동대문구,청량리동,H,1123070500,서울특별시,동대문구,청량리동
1642,청량리미주아파트.동대문세무서,서울특별시 동대문구 청량리동,127.0472897194037,37.58625110954969,B,1123010700,서울특별시,동대문구,청량리동,H,1123070500,서울특별시,동대문구,청량리동
1643,청량리.청과물도매시장,서울특별시 동대문구 제기동,127.0378184147225,37.58311546399518,B,1123010300,서울특별시,동대문구,제기동,H,1123054500,서울특별시,동대문구,제기동
1644,제기동역.서울약령시,서울특별시 동대문구 용두동,127.0373166019291,37.57577072122688,B,1123010200,서울특별시,동대문구,용두동,H,1123053600,서울특별시,동대문구,용신동
1645,제기동역.서울약령시,서울특별시 동대문구 제기동,127.0378184147225,37.58311546399518,B,1123010300,서울특별시,동대문구,제기동,H,1123054500,서울특별시,동대문구,제기동
1646,용두동사거리,서울특별시 동대문구 용두동,127.0373166019291,37.57577072122688,B,1123010200,서울특별시,동대문구,용두동,H,1123053600,서울특별시,동대문구,용신동
1647,용두동사거리.한국의류시험연구원,서울특별시 동대문구 용두동,127.0373166019291,37.57577072122688,B,1123010200,서울특별시,동대문구,용두동,H,1123053600,서울특별시,동대문구,용신동
1648,신설동역,서울특별시 동대문구 신설동,127.0255385709958,37.57496296167424,B,1123010100,서울특별시,동대문구,신설동,H,1123053600,서울특별시,동대문구,용신동
1649,신설동역,서울특별시 동대문구 신설동,127.0255385709958,37.57496296167424,B,1123010100,서울특별시,동대문구,신설동,H,1123053600,서울특별시,동대문구,용신동
1650,신설동역,서울특별시 동대문구 신설동,127.0255385709958,37.57496296167424,B,1123010100,서울특별시,동대문구,신설동,H,1123053600,서울특별시,동대문구,용신동
1651,신설동역,서울특별시 동대문구 신설동,127.0255385709958,37.57496296167424,B,1123010100,서울특별시,동대문구,신설동,H,1123053600,서울특별시,동대문구,용신동
1652,용두동한국의류시험연구원,서울특별시 동대문구 용두동,127.0373166019291,37.57577072122688,B,1123010200,서울특별시,동대문구,용두동,H,1123053600,서울특별시,동대문구,용신동
1653,용두로타리한국의류시험연구원,서울특별시 동대문구 용두동,127.0373166019291,37.57577072122688,B,1123010200,서울특별시,동대문구,용두동,H,1123053600,서울특별시,동대문구,용신동
1654,제기역약령시장,서울특별시 동대문구 제기동,127.0378184147225,37.58311546399518,B,1123010300,서울특별시,동대문구,제기동,H,1123054500,서울특별시,동대문구,제기동
1655,제기역약령시장,서울특별시 동대문구 용두동,127.0373166019291,37.57577072122688,B,1123010200,서울특별시,동대문구,용두동,H,1123053600,서울특별시,동대문구,용신동
1656,신설동역1번출구,서울특별시 동대문구 신설동,127.0255385709958,37.57496296167424,B,1123010100,서울특별시,동대문구,신설동,H,1123053600,서울특별시,동대문구,용신동
1657,청량리미주상가앞,서울특별시 동대문구 전농동,127.0477599545309,37.57797259208786,B,1123010400,서울특별시,동대문구,전농동,H,1123056000,서울특별시,동대문구,전농1동
1658,서울성심병원,서울특별시 동대문구 청량리동,127.0472897194037,37.58625110954969,B,1123010700,서울특별시,동대문구,청량리동,H,1123070500,서울특별시,동대문구,청량리동
1659,서울성심병원,서울특별시 동대문구 전농동,127.0477599545309,37.57797259208786,B,1123010400,서울특별시,동대문구,전농동,H,1123056000,서울특별시,동대문구,전농1동
1660,시조사,서울특별시 동대문구 청량리동,127.0472897194037,37.58625110954969,B,1123010700,서울특별시,동대문구,청량리동,H,1123070500,서울특별시,동대문구,청량리동
1661,휘경동입구,서울특별시 동대문구 휘경동,127.0657413311471,37.59286276640382,B,1123010900,서울특별시,동대문구,휘경동,H,1123072000,서울특별시,동대문구,휘경1동
1662,삼육서울병원,서울특별시 동대문구 휘경동,127.0657413311471,37.59286276640382,B,1123010900,서울특별시,동대문구,휘경동,H,1123072000,서울특별시,동대문구,휘경1동
1663,중랑교,서울특별시 동대문구 휘경동,127.0657413311471,37.59286276640382,B,1123010900,서울특별시,동대문구,휘경동,H,1123072000,서울특별시,동대문구,휘경1동
1664,회기시장,서울특별시 동대문구 휘경동,127.0657413311471,37.59286276640382,B,1123010900,서울특별시,동대문구,휘경동,H,1123072000,서울특별시,동대문구,휘경1동
1665,회기시장,서울특별시 동대문구 휘경동,127.0657413311471,37.59286276640382,B,1123010900,서울특별시,동대문구,휘경동,H,1123072000,서울특별시,동대문구,휘경1동
1666,경희중고,서울특별시 동대문구 이문동,127.0655237770841,37.59785437965571,B,1123011000,서울특별시,동대문구,이문동,H,1123074000,서울특별시,동대문구,이문1동
1667,경희중고,서울특별시 동대문구 이문동,127.0655237770841,37.59785437965571,B,1123011000,서울특별시,동대문구,이문동,H,1123074000,서울특별시,동대문구,이문1동
1668,외대앞,서울특별시 동대문구 이문동,127.0655237770841,37.59785437965571,B,1123011000,서울특별시,동대문구,이문동,H,1123074000,서울특별시,동대문구,이문1동
1669,외대앞,서울특별시 동대문구 이문동,127.0655237770841,37.59785437965571,B,1123011000,서울특별시,동대문구,이문동,H,1123074000,서울특별시,동대문구,이문1동
1670,이문동우체국,서울특별시 동대문구 이문동,127.0655237770841,37.59785437965571,B,1123011000,서울특별시,동대문구,이문동,H,1123074000,서울특별시,동대문구,이문1동
1671,이문동교회,서울특별시 동대문구 이문동,127.0655237770841,37.59785437965571,B,1123011000,서울특별시,동대문구,이문동,H,1123074000,서울특별시,동대문구,이문1동
1672,의릉입구,서울특별시 동대문구 이문동,127.0655237770841,37.59785437965571,B,1123011000,서울특별시,동대문구,이문동,H,1123074000,서울특별시,동대문구,이문1동
1673,의릉입구,서울특별시 동대문구 이문동,127.0655237770841,37.59785437965571,B,1123011000,서울특별시,동대문구,이문동,H,1123074000,서울특별시,동대문구,이문1동
1674,한천로쌍용아파트앞,서울특별시 동대문구 이문동,127.0655237770841,37.59785437965571,B,1123011000,서울특별시,동대문구,이문동,H,1123074000,서울특별시,동대문구,이문1동
1675,한천로쌍용아파트앞,서울특별시 동대문구 이문동,127.0655237770841,37.59785437965571,B,1123011000,서울특별시,동대문구,이문동,H,1123074000,서울특별시,동대문구,이문1동
1676,이문동삼익아파트,서울특별시 동대문구 휘경동,127.0657413311471,37.59286276640382,B,1123010900,서울특별시,동대문구,휘경동,H,1123072000,서울특별시,동대문구,휘경1동
1677,이문동삼익아파트,서울특별시 동대문구 이문동,127.0655237770841,37.59785437965571,B,1123011000,서울특별시,동대문구,이문동,H,1123074000,서울특별시,동대문구,이문1동
1678,동일스위트리버아파트.휘봉고교,서울특별시 동대문구 휘경동,127.0657413311471,37.59286276640382,B,1123010900,서울특별시,동대문구,휘경동,H,1123072000,서울특별시,동대문구,휘경1동
1679,휘경유수지견인차고지앞,서울특별시 동대문구 휘경동,127.0657413311471,37.59286276640382,B,1123010900,서울특별시,동대문구,휘경동,H,1123072000,서울특별시,동대문구,휘경1동
1680,서울준법지원센터.동성빌라,서울특별시 동대문구 휘경동,127.0657413311471,37.59286276640382,B,1123010900,서울특별시,동대문구,휘경동,H,1123072000,서울특별시,동대문구,휘경1동
1681,서울준법지원센터.동성빌라,서울특별시 동대문구 휘경동,127.0657413311471,37.59286276640382,B,1123010900,서울특별시,동대문구,휘경동,H,1123072000,서울특별시,동대문구,휘경1동
1682,휘경여중고휘경주공아파트앞,서울특별시 동대문구 전농동,127.0477599545309,37.57797259208786,B,1123010400,서울특별시,동대문구,전농동,H,1123056000,서울특별시,동대문구,전농1동
1683,휘경여중고휘경주공아파트,서울특별시 동대문구 전농동,127.0477599545309,37.57797259208786,B,1123010400,서울특별시,동대문구,전농동,H,1123056000,서울특별시,동대문구,전농1동
1684,장안동현대아파트앞,서울특별시 동대문구 장안동,127.0666791439623,37.56777497225432,B,1123010600,서울특별시,동대문구,장안동,H,1123065000,서울특별시,동대문구,장안1동
1685,전곡시장앞,서울특별시 동대문구 장안동,127.0666791439623,37.56777497225432,B,1123010600,서울특별시,동대문구,장안동,H,1123065000,서울특별시,동대문구,장안1동
1686,전곡시장앞,서울특별시 동대문구 장안동,127.0666791439623,37.56777497225432,B,1123010600,서울특별시,동대문구,장안동,H,1123065000,서울특별시,동대문구,장안1동
1687,답십리촬영소.우성그린아파트,서울특별시 동대문구 답십리동,127.0511203541628,37.57193812508103,B,1123010500,서울특별시,동대문구,답십리동,H,1123060000,서울특별시,동대문구,답십리1동
1688,촬영소사거리.우성그린아파트,서울특별시 동대문구 답십리동,127.0511203541628,37.57193812508103,B,1123010500,서울특별시,동대문구,답십리동,H,1123060000,서울특별시,동대문구,답십리1동
1689,풍안시장.동답초교,서울특별시 동대문구 답십리동,127.0511203541628,37.57193812508103,B,1123010500,서울특별시,동대문구,답십리동,H,1123060000,서울특별시,동대문구,답십리1동
1690,동답한신동아아파트,서울특별시 동대문구 장안동,127.0666791439623,37.56777497225432,B,1123010600,서울특별시,동대문구,장안동,H,1123065000,서울특별시,동대문구,장안1동
1691,동답한신동아아파트,서울특별시 동대문구 장안동,127.0666791439623,37.56777497225432,B,1123010600,서울특별시,동대문구,장안동,H,1123065000,서울특별시,동대문구,장안1동
1692,동아.위더스빌아파트,서울특별시 동대문구 답십리동,127.0511203541628,37.57193812508103,B,1123010500,서울특별시,동대문구,답십리동,H,1123060000,서울특별시,동대문구,답십리1동
1693,동아.위더스빌아파트,서울특별시 동대문구 답십리동,127.0511203541628,37.57193812508103,B,1123010500,서울특별시,동대문구,답십리동,H,1123060000,서울특별시,동대문구,답십리1동
1694,하나은행장안동지점,서울특별시 동대문구 장안동,127.0666791439623,37.56777497225432,B,1123010600,서울특별시,동대문구,장안동,H,1123065000,서울특별시,동대문구,장안1동
1695,장한평,서울특별시 동대문구 장안동,127.0666791439623,37.56777497225432,B,1123010600,서울특별시,동대문구,장안동,H,1123065000,서울특별시,동대문구,장안1동
1696,청년회의소앞,서울특별시 동대문구 장안동,127.0666791439623,37.56777497225432,B,1123010600,서울특별시,동대문구,장안동,H,1123065000,서울특별시,동대문구,장안1동
1697,고미술상가,서울특별시 동대문구 장안동,127.0666791439623,37.56777497225432,B,1123010600,서울특별시,동대문구,장안동,H,1123065000,서울특별시,동대문구,장안1동
1698,답십리역.동부시장,서울특별시 동대문구 답십리동,127.0511203541628,37.57193812508103,B,1123010500,서울특별시,동대문구,답십리동,H,1123060000,서울특별시,동대문구,답십리1동
1699,신답역앞,서울특별시 성동구 용답동,127.055579052769,37.56407582442792,B,1120012200,서울특별시,성동구,용답동,H,1120079000,서울특별시,성동구,용답동
1700,동대문구청.용두역4번출구,서울특별시 동대문구 용두동,127.0373166019291,37.57577072122688,B,1123010200,서울특별시,동대문구,용두동,H,1123053600,서울특별시,동대문구,용신동
1701,용두역,서울특별시 동대문구 용두동,127.0373166019291,37.57577072122688,B,1123010200,서울특별시,동대문구,용두동,H,1123053600,서울특별시,동대문구,용신동
1702,용두동신동아아파트,서울특별시 동대문구 용두동,127.0373166019291,37.57577072122688,B,1123010200,서울특별시,동대문구,용두동,H,1123053600,서울특별시,동대문구,용신동
1703,동대문우체국.서울풍물시장,서울특별시 동대문구 신설동,127.0255385709958,37.57496296167424,B,1123010100,서울특별시,동대문구,신설동,H,1123053600,서울특별시,동대문구,용신동
1704,동대문구청.용두역3번출구,서울특별시 동대문구 용두동,127.0373166019291,37.57577072122688,B,1123010200,서울특별시,동대문구,용두동,H,1123053600,서울특별시,동대문구,용신동
1705,동대문구청.용신동주민센터,서울특별시 동대문구 용두동,127.0373166019291,37.57577072122688,B,1123010200,서울특별시,동대문구,용두동,H,1123053600,서울특별시,동대문구,용신동
1706,동대문구청.용신동주민센터,서울특별시 동대문구 용두동,127.0373166019291,37.57577072122688,B,1123010200,서울특별시,동대문구,용두동,H,1123053600,서울특별시,동대문구,용신동
1707,경동시장앞,서울특별시 동대문구 제기동,127.0378184147225,37.58311546399518,B,1123010300,서울특별시,동대문구,제기동,H,1123054500,서울특별시,동대문구,제기동
1708,제기동주민센터.서울약령시앞,서울특별시 동대문구 제기동,127.0378184147225,37.58311546399518,B,1123010300,서울특별시,동대문구,제기동,H,1123054500,서울특별시,동대문구,제기동
1709,경동시장,서울특별시 동대문구 제기동,127.0378184147225,37.58311546399518,B,1123010300,서울특별시,동대문구,제기동,H,1123054500,서울특별시,동대문구,제기동
1710,홍파초등학교,서울특별시 동대문구 제기동,127.0378184147225,37.58311546399518,B,1123010300,서울특별시,동대문구,제기동,H,1123054500,서울특별시,동대문구,제기동
1711,홍파초등학교,서울특별시 동대문구 제기동,127.0378184147225,37.58311546399518,B,1123010300,서울특별시,동대문구,제기동,H,1123054500,서울특별시,동대문구,제기동
1712,제기동한신아파트앞,서울특별시 동대문구 제기동,127.0378184147225,37.58311546399518,B,1123010300,서울특별시,동대문구,제기동,H,1123054500,서울특별시,동대문구,제기동
1713,고려대역.고대앞삼거리,서울특별시 동대문구 제기동,127.0378184147225,37.58311546399518,B,1123010300,서울특별시,동대문구,제기동,H,1123054500,서울특별시,동대문구,제기동
1714,고려대역.고대앞삼거리,서울특별시 동대문구 제기동,127.0378184147225,37.58311546399518,B,1123010300,서울특별시,동대문구,제기동,H,1123054500,서울특별시,동대문구,제기동
1715,고려대학교앞,서울특별시 동대문구 제기동,127.0378184147225,37.58311546399518,B,1123010300,서울특별시,동대문구,제기동,H,1123054500,서울특별시,동대문구,제기동
1716,우신향병원,서울특별시 동대문구 제기동,127.0378184147225,37.58311546399518,B,1123010300,서울특별시,동대문구,제기동,H,1123054500,서울특별시,동대문구,제기동
1717,안암오거리,서울특별시 동대문구 제기동,127.0378184147225,37.58311546399518,B,1123010300,서울특별시,동대문구,제기동,H,1123054500,서울특별시,동대문구,제기동
1718,대광고등학교앞,서울특별시 동대문구 용두동,127.0373166019291,37.57577072122688,B,1123010200,서울특별시,동대문구,용두동,H,1123053600,서울특별시,동대문구,용신동
1719,종암초등학교앞,서울특별시 동대문구 제기동,127.0378184147225,37.58311546399518,B,1123010300,서울특별시,동대문구,제기동,H,1123054500,서울특별시,동대문구,제기동
1720,용두시장앞,서울특별시 동대문구 용두동,127.0373166019291,37.57577072122688,B,1123010200,서울특별시,동대문구,용두동,H,1123053600,서울특별시,동대문구,용신동
1721,용두시장앞,서울특별시 동대문구 용두동,127.0373166019291,37.57577072122688,B,1123010200,서울특별시,동대문구,용두동,H,1123053600,서울특별시,동대문구,용신동
1722,서울시동부병원,서울특별시 동대문구 용두동,127.0373166019291,37.57577072122688,B,1123010200,서울특별시,동대문구,용두동,H,1123053600,서울특별시,동대문구,용신동
1723,서울시동부병원,서울특별시 동대문구 용두동,127.0373166019291,37.57577072122688,B,1123010200,서울특별시,동대문구,용두동,H,1123053600,서울특별시,동대문구,용신동
1724,동아제약앞,서울특별시 동대문구 용두동,127.0373166019291,37.57577072122688,B,1123010200,서울특별시,동대문구,용두동,H,1123053600,서울특별시,동대문구,용신동
1725,동아제약앞,서울특별시 동대문구 용두동,127.0373166019291,37.57577072122688,B,1123010200,서울특별시,동대문구,용두동,H,1123053600,서울특별시,동대문구,용신동
1726,떡전교앞,서울특별시 동대문구 전농동,127.0477599545309,37.57797259208786,B,1123010400,서울특별시,동대문구,전농동,H,1123056000,서울특별시,동대문구,전농1동
1727,떡전교앞,서울특별시 동대문구 전농동,127.0477599545309,37.57797259208786,B,1123010400,서울특별시,동대문구,전농동,H,1123056000,서울특별시,동대문구,전농1동
1728,서울시립대입구,서울특별시 동대문구 전농동,127.0477599545309,37.57797259208786,B,1123010400,서울특별시,동대문구,전농동,H,1123056000,서울특별시,동대문구,전농1동
1729,서울시립대학교앞,서울특별시 동대문구 전농동,127.0477599545309,37.57797259208786,B,1123010400,서울특별시,동대문구,전농동,H,1123056000,서울특별시,동대문구,전농1동
1730,서울시동부교육지원청.해성국제컨벤션고교,서울특별시 동대문구 전농동,127.0477599545309,37.57797259208786,B,1123010400,서울특별시,동대문구,전농동,H,1123056000,서울특별시,동대문구,전농1동
