,대분류,지점명,주소,xpos,ypos,법정동,법정동코드,B_시도명,B_시군구,B_동,행정동,행정동코드,H_시도명,H_시군구,H_동
19,1,성수점,서울 성동구 뚝섬로 379 이마트성수점,127.0531007,37.5397379,B,1120011500,서울특별시,성동구,성수동2가,H,1120067000,서울특별시,성동구,성수2가1동
20,2,은평점,서울 은평구 은평로 111,126.9204992,37.6007771,B,1138010700,서울특별시,은평구,응암동,H,1138058000,서울특별시,은평구,응암1동
21,3,영등포점,"서울 영등포구 영중로 15 타임스퀘어 지하1,2층",126.9037826,37.5171327,B,1156010500,서울특별시,영등포구,영등포동4가,H,1156053500,서울특별시,영등포구,영등포동
22,4,월계점,서울 노원구 마들로3길 15,127.0619091,37.62644,B,1135010200,서울특별시,노원구,월계동,H,1135058000,서울특별시,노원구,월계3동
23,5,용산점,서울 용산구 한강대로23길 55 지하1층,126.9645796,37.5298245,B,1117012800,서울특별시,용산구,한강로3가,H,1117062500,서울특별시,용산구,한강로동
24,6,가양점,서울 강서구 양천로 559,126.8622978,37.5578966,B,1150010400,서울특별시,강서구,가양동,H,1150060500,서울특별시,강서구,가양3동
25,7,마포공덕점,서울 마포구 백범로 212,126.9533694,37.5424268,B,1144010300,서울특별시,마포구,신공덕동,H,1144056500,서울특별시,마포구,공덕동
26,8,자양점,서울 광진구 아차산로 272 더샵스타시티 지하1층,127.0726136,37.5374205,B,1121510500,서울특별시,광진구,자양동,H,1121584000,서울특별시,광진구,자양3동
27,9,목동점,서울 양천구 오목로 299 삼성 트라펠리스 지하,126.8703272,37.5257763,B,1147010200,서울특별시,양천구,목동,H,1147051000,서울특별시,양천구,목1동
28,10,왕십리점,서울 성동구 왕십리광장로 17,127.0379421,37.5621482,B,1120010700,서울특별시,성동구,행당동,H,1120056000,서울특별시,성동구,행당1동
29,11,청계천점,서울 중구 청계천로 400 롯데캐슬 베네치아,127.0213284,37.5708733,B,1114016500,서울특별시,중구,황학동,H,1114067000,서울특별시,중구,황학동
30,12,역삼점,서울 강남구 역삼로 310 한솔필리아 지층,127.0483257,37.4991554,B,1168010100,서울특별시,강남구,역삼동,H,1168065000,서울특별시,강남구,역삼2동
31,13,가든파이브점,서울 송파구 충민로 10,127.1193703,37.4782316,B,1171010800,서울특별시,송파구,문정동,H,1171064200,서울특별시,송파구,문정2동
32,14,명일점,서울 강동구 고덕로 276,127.1557517,37.5546516,B,1174010100,서울특별시,강동구,명일동,H,1174054000,서울특별시,강동구,명일2동
33,15,미아점,서울 성북구 도봉로 17,127.0296051,37.6108648,B,1129013400,서울특별시,성북구,길음동,H,1129068500,서울특별시,성북구,길음2동
34,16,상봉점,서울 중랑구 상봉로 118,127.0935903,37.596438,B,1126010500,서울특별시,중랑구,망우동,H,1126065500,서울특별시,중랑구,망우본동
35,17,구로점,서울 구로구 디지털로32길 43,126.89788,37.4843537,B,1153010200,서울특별시,구로구,구로동,H,1153054000,서울특별시,구로구,구로3동
36,18,이수점,서울 동작구 사당로 300 이수자이 지하1층,126.9804085,37.4839828,B,1159010700,서울특별시,동작구,사당동,H,1159062000,서울특별시,동작구,사당1동
37,19,양재점,서울 서초구 매헌로 16,127.0355485,37.4665323,B,1165010200,서울특별시,서초구,양재동,H,1165065200,서울특별시,서초구,양재2동
38,20,창동점,서울 도봉구 노해로65길 4,127.046933,37.6516821,B,1132010700,서울특별시,도봉구,창동,H,1132051500,서울특별시,도봉구,창5동
39,21,신도림점,서울 구로구 새말로 97 신도림테크노마트 지하2층,126.8902185,37.5070431,B,1153010200,서울특별시,구로구,구로동,H,1153056000,서울특별시,구로구,구로5동
40,22,하월곡점,서울 성북구 종암로 167 동일하이빌뉴시티,127.0309948,37.604314,B,1129013600,서울특별시,성북구,하월곡동,H,1129068500,서울특별시,성북구,길음2동
41,23,여의도점,서울 영등포구 여의동로3길 10 GS자이아파트 지하1층,126.9261426,37.5180954,B,1156011000,서울특별시,영등포구,여의도동,H,1156054000,서울특별시,영등포구,여의동
42,24,천호점,서울 강동구 천호대로 1017,127.1253669,37.5386477,B,1174010900,서울특별시,강동구,천호동,H,1174061000,서울특별시,강동구,천호2동
43,25,신월점,서울 양천구 화곡로 59,126.8285127,37.5397142,B,1147010300,서울특별시,양천구,신월동,H,1147060000,서울특별시,양천구,신월5동
44,26,수색점,서울 은평구 수색로 217,126.8987214,37.5795991,B,1138010100,서울특별시,은평구,수색동,H,1138065000,서울특별시,은평구,수색동
45,27,목동점,서울 중랑구 동일로 932,127.0775029,37.613797,B,1126010400,서울특별시,중랑구,묵동,H,1126062000,서울특별시,중랑구,묵1동
