,지구대파출소,청,서,주소,xpos,ypos,법정동,법정동코드,B_시도명,B_시군구,B_동,행정동,행정동코드,H_시도명,H_시군구,H_동
45,미성파출소,서울청,서울관악경찰서,관악구 미성동 1566-34,126.9156425,37.4799125,B,1162010200,서울특별시,관악구,신림동,H,1162076500,서울특별시,관악구,미성동
46,서울관악경찰서,서울청,서울관악경찰서,관악구 봉천4동 산177-3,126.9510663,37.4745177,B,1162010100,서울특별시,관악구,봉천동,H,1162059500,서울특별시,관악구,청룡동
47,신림지구대,서울청,서울관악경찰서,관악구 신림본동 10-484,126.9333345,37.4840001,B,1162010200,서울특별시,관악구,신림동,H,1162064500,서울특별시,관악구,서원동
48,신사파출소,서울청,서울관악경찰서,관악구 신사동 517-5,126.9140674,37.4872365,B,1162010200,서울특별시,관악구,신림동,H,1162068500,서울특별시,관악구,신사동
49,광나루지구대,서울청,서울광진경찰서,광진구 광장동 231-1,127.1033349,37.544457,B,1121510400,서울특별시,광진구,광장동,H,1121581000,서울특별시,광진구,광장동
50,구의파출소,서울청,서울광진경찰서,광진구 구의동 126-51,127.0941365,37.5483228,B,1121510300,서울특별시,광진구,구의동,H,1121586000,서울특별시,광진구,구의2동
51,뚝섬한강순찰대,서울청,서울광진경찰서,광진구 강변북로 68,127.0614055,37.5316728,B,1121510500,서울특별시,광진구,자양동,H,1121584700,서울특별시,광진구,자양4동
52,서울광진경찰서,서울청,서울광진경찰서,광진구 구의동 254-32,127.0838493,37.5429152,B,1121510300,서울특별시,광진구,구의동,H,1121585000,서울특별시,광진구,구의1동
53,자양1파출소,서울청,서울광진경찰서,광진구 자양1동 799-2,127.0769295,37.5366517,B,1121510500,서울특별시,광진구,자양동,H,1121582000,서울특별시,광진구,자양1동
54,자양4파출소,서울청,서울광진경찰서,광진구 자양동 55-12,127.063639,37.5351826,B,1121510500,서울특별시,광진구,자양동,H,1121584700,서울특별시,광진구,자양4동
55,자양파출소,서울청,서울광진경찰서,광진구 자양2동 669-2,127.0846283,37.5288198,B,1121510500,서울특별시,광진구,자양동,H,1121583000,서울특별시,광진구,자양2동
56,중곡1파출소,서울청,서울광진경찰서,광진구 중곡동 165-6,127.082885,37.5637304,B,1121510100,서울특별시,광진구,중곡동,H,1121574000,서울특별시,광진구,중곡1동
57,중곡2파출소,서울청,서울광진경찰서,광진구 중곡동 47-33,127.0814064,37.5601963,B,1121510100,서울특별시,광진구,중곡동,H,1121575000,서울특별시,광진구,중곡2동
58,중곡3파출소,서울청,서울광진경찰서,광진구 중곡동 684,127.0801623,37.5688179,B,1121510100,서울특별시,광진구,중곡동,H,1121576000,서울특별시,광진구,중곡3동
59,중곡4파출소,서울청,서울광진경찰서,광진구 중곡동 18-144,127.0871444,37.5652997,B,1121510100,서울특별시,광진구,중곡동,H,1121577000,서울특별시,광진구,중곡4동
60,화양지구대,서울청,서울광진경찰서,광진구 화양동 122,127.0713254,37.5466395,B,1121510700,서울특별시,광진구,화양동,H,1121571000,서울특별시,광진구,화양동
61,가리봉파출소,서울청,서울구로경찰서,구로구 가리봉동 136-81,126.8928072,37.4791289,B,1153010300,서울특별시,구로구,가리봉동,H,1153059500,서울특별시,구로구,가리봉동
62,개봉지구대,서울청,서울구로경찰서,구로구 개봉2동 259-1,126.8564203,37.4917316,B,1153010700,서울특별시,구로구,개봉동,H,1153075000,서울특별시,구로구,개봉2동
63,고척지구대,서울청,서울구로경찰서,구로구 고척2동 339-3,126.858325,37.5065333,B,1153010600,서울특별시,구로구,고척동,H,1153073000,서울특별시,구로구,고척2동
64,구로3파출소,서울청,서울구로경찰서,구로구 구로3동 256-1,126.8913125,37.4866929,B,1153010200,서울특별시,구로구,구로동,H,1153054000,서울특별시,구로구,구로3동
65,구일지구대,서울청,서울구로경찰서,구로구 구로동 766-238,126.890725,37.4893096,B,1153010200,서울특별시,구로구,구로동,H,1153055000,서울특별시,구로구,구로4동
66,서울구로경찰서,서울청,서울구로경찰서,구로구 구로2동 436,126.8867298,37.4948934,B,1153010200,서울특별시,구로구,구로동,H,1153053000,서울특별시,구로구,구로2동
67,신구로지구대,서울청,서울구로경찰서,구로구 구로동 109-4,126.8838707,37.502267,B,1153010200,서울특별시,구로구,구로동,H,1153056000,서울특별시,구로구,구로5동
68,오류지구대,서울청,서울구로경찰서,구로구 오류1동 31-138,126.8388413,37.4947938,B,1153010800,서울특별시,구로구,오류동,H,1153077000,서울특별시,구로구,오류1동
69,천왕파출소,서울청,서울구로경찰서,구로구 오리로 1100,126.8420231,37.4832656,B,1153011100,서울특별시,구로구,천왕동,H,1153078000,서울특별시,구로구,오류2동
70,가산파출소,서울청,서울금천경찰서,금천구 가산동 139-2,126.8881621,37.4798506,B,1154510100,서울특별시,금천구,가산동,H,1154551000,서울특별시,금천구,가산동
71,금천파출소,서울청,서울금천경찰서,금천구 시흥동 995-2,126.8998572,37.4542325,B,1154510300,서울특별시,금천구,시흥동,H,1154567000,서울특별시,금천구,시흥1동
72,독산파출소,서울청,서울금천경찰서,금천구 독산1동 293-14,126.8944234,37.4676012,B,1154510200,서울특별시,금천구,독산동,H,1154561000,서울특별시,금천구,독산1동
73,문성지구대,서울청,서울금천경찰서,금천구 독산4동 191-2호,126.9034804,37.4695584,B,1154510200,서울특별시,금천구,독산동,H,1154564000,서울특별시,금천구,독산4동
74,백산지구대,서울청,서울금천경찰서,금천구 시흥4동 3-83호,126.9125373,37.4509939,B,1154510300,서울특별시,금천구,시흥동,H,1154571000,서울특별시,금천구,시흥5동
75,서울금천경찰서,서울청,서울금천경찰서,금천구 신림8동 544,126.8967383,37.4572246,B,1154510300,서울특별시,금천구,시흥동,H,1154567000,서울특별시,금천구,시흥1동
76,남대문파출소,서울청,서울남대문경찰서,중구 남창동 51-1,126.9764128,37.559012,B,1114011200,서울특별시,중구,남창동,H,1114054000,서울특별시,중구,회현동
77,명동파출소,서울청,서울남대문경찰서,중구 명동2가 50-13,126.9839591,37.5636434,B,1114012600,서울특별시,중구,명동1가,H,1114055000,서울특별시,중구,명동
78,서소문파출소,서울청,서울남대문경찰서,중구 서소문동 24,126.9754723,37.5638243,B,1114016600,서울특별시,중구,서소문동,H,1114052000,서울특별시,중구,소공동
79,서울남대문경찰서,서울청,서울남대문경찰서,중구 남대문로5가 561,126.9734875,37.5547667,B,1114011800,서울특별시,중구,남대문로5가,H,1114054000,서울특별시,중구,회현동
80,서울역파출소,서울청,서울남대문경찰서,중구 봉래동 2가 122,126.9716474,37.5569113,B,1114012000,서울특별시,중구,봉래동2가,H,1114054000,서울특별시,중구,회현동
81,중림파출소,서울청,서울남대문경찰서,중구 중림동 203,126.967116,37.5578854,B,1114017100,서울특별시,중구,중림동,H,1114068000,서울특별시,중구,중림동
82,태평로파출소,서울청,서울남대문경찰서,중구 다동 48,126.9799962,37.5679932,B,1114010200,서울특별시,중구,다동,H,1114055000,서울특별시,중구,명동
83,회현파출소,서울청,서울남대문경찰서,중구 회현동1가 194-15,126.9787466,37.5583279,B,1114012100,서울특별시,중구,회현동1가,H,1114054000,서울특별시,중구,회현동
84,노원역지구대,서울청,서울노원경찰서,노원구 상계7동 720-5,127.0669388,37.6550242,B,1135010500,서울특별시,노원구,상계동,H,1135069500,서울특별시,노원구,상계6.7동
85,당고개파출소,서울청,서울노원경찰서,노원구 상계3동 172-2,127.0752592,37.6638936,B,1135010500,서울특별시,노원구,상계동,H,1135066500,서울특별시,노원구,상계3.4동
86,당현지구대,서울청,서울노원경찰서,노원구 중계3동 511,127.068375,37.6420154,B,1135010600,서울특별시,노원구,중계동,H,1135062500,서울특별시,노원구,중계2.3동
87,마들지구대,서울청,서울노원경찰서,노원구 상계9동 681,127.0636228,37.6645767,B,1135010500,서울특별시,노원구,상계동,H,1135071000,서울특별시,노원구,상계9동
88,불암지구대,서울청,서울노원경찰서,노원구 중계1동 359-6,127.0803875,37.6476487,B,1135010600,서울특별시,노원구,중계동,H,1135061900,서울특별시,노원구,중계본동
89,상계1파출소,서울청,서울노원경찰서,노원구 상계1동 1261,127.0550666,37.6797296,B,1135010500,서울특별시,노원구,상계동,H,1135063000,서울특별시,노원구,상계1동
90,서울노원경찰서,서울청,서울노원경찰서,노원구 하계동 250,127.0714084,37.642335,B,1135010400,서울특별시,노원구,하계동,H,1135061100,서울특별시,노원구,하계1동
91,월계지구대,서울청,서울노원경찰서,노원구 월계동 262-5,127.0593143,37.6336752,B,1135010200,서울특별시,노원구,월계동,H,1135058000,서울특별시,노원구,월계3동
92,화랑지구대,서울청,서울노원경찰서,노원구 공릉동 567-18,127.0746347,37.622534,B,1135010300,서울특별시,노원구,공릉동,H,1135059500,서울특별시,노원구,공릉1동
93,도봉1파출소,서울청,서울도봉경찰서,도봉구 도봉1동 594-24,127.0434119,37.6794745,B,1132010800,서울특별시,도봉구,도봉동,H,1132052100,서울특별시,도봉구,도봉1동
94,도봉2파출소,서울청,서울도봉경찰서,도봉구 도봉2동 69-2,127.0492467,37.6839633,B,1132010800,서울특별시,도봉구,도봉동,H,1132052200,서울특별시,도봉구,도봉2동
95,방학파출소,서울청,서울도봉경찰서,도봉구 방학1동 687-3,127.0400335,37.6644266,B,1132010600,서울특별시,도봉구,방학동,H,1132069000,서울특별시,도봉구,방학1동
96,서울도봉경찰서,서울청,서울도봉경찰서,도봉구 창4동 17,127.052775,37.6534487,B,1132010700,서울특별시,도봉구,창동,H,1132051400,서울특별시,도봉구,창4동
97,숭미파출소,서울청,서울도봉경찰서,도봉구 쌍문1동 349-34,127.025602,37.6474693,B,1132010500,서울특별시,도봉구,쌍문동,H,1132066000,서울특별시,도봉구,쌍문1동
98,신방학파출소,서울청,서울도봉경찰서,도봉구 방학3동 498-12,127.0270766,37.6584766,B,1132010600,서울특별시,도봉구,방학동,H,1132071000,서울특별시,도봉구,방학3동
